transaction_id,user_id,amount,timestamp,is_fraud
0,23,5580.87,2023-01-01T00:00:00,True
1,99,907.78,2023-01-01T00:01:00,False
2,28,378.28,2023-01-01T00:02:00,False
3,55,732.78,2023-01-01T00:03:00,False
4,46,942.91,2023-01-01T00:04:00,False
5,82,550.99,2023-01-01T00:05:00,False
6,86,905.74,2023-01-01T00:06:00,False
7,34,423.21,2023-01-01T00:07:00,False
8,92,299.78,2023-01-01T00:08:00,False
9,46,123.61,2023-01-01T00:09:00,False
10,69,973.29,2023-01-01T00:10:00,False
11,70,44.71,2023-01-01T00:11:00,False
12,3,274.74,2023-01-01T00:12:00,False
13,68,251.7,2023-01-01T00:13:00,False
14,53,592.21,2023-01-01T00:14:00,False
15,38,138.33,2023-01-01T00:15:00,False
16,82,579.52,2023-01-01T00:16:00,False
17,85,244.82,2023-01-01T00:17:00,False
18,16,587.69,2023-01-01T00:18:00,False
19,24,387.19,2023-01-01T00:19:00,False
20,10,333.4,2023-01-01T00:20:00,False
21,66,788.38,2023-01-01T00:21:00,False
22,93,579.27,2023-01-01T00:22:00,False
23,79,923.62,2023-01-01T00:23:00,False
24,2,889.45,2023-01-01T00:24:00,False
25,16,40.14,2023-01-01T00:25:00,False
26,3,466.0,2023-01-01T00:26:00,False
27,63,918.24,2023-01-01T00:27:00,False
28,43,416.94,2023-01-01T00:28:00,False
29,67,549.96,2023-01-01T00:29:00,False
30,55,45.91,2023-01-01T00:30:00,False
31,97,864.45,2023-01-01T00:31:00,False
32,31,922.22,2023-01-01T00:32:00,False
33,35,862.51,2023-01-01T00:33:00,False
34,83,390.18,2023-01-01T00:34:00,False
35,6,704.94,2023-01-01T00:35:00,False
36,80,912.47,2023-01-01T00:36:00,False
37,70,579.59,2023-01-01T00:37:00,False
38,80,613.1,2023-01-01T00:38:00,False
39,58,415.88,2023-01-01T00:39:00,False
40,93,890.36,2023-01-01T00:40:00,False
41,26,183.77,2023-01-01T00:41:00,False
42,96,742.0,2023-01-01T00:42:00,False
43,77,794.81,2023-01-01T00:43:00,False
44,30,82.29,2023-01-01T00:44:00,False
45,11,382.68,2023-01-01T00:45:00,False
46,14,405.81,2023-01-01T00:46:00,False
47,100,260.69,2023-01-01T00:47:00,False
48,36,852.57,2023-01-01T00:48:00,False
49,97,714.57,2023-01-01T00:49:00,False
50,62,781.99,2023-01-01T00:50:00,False
51,11,695.6,2023-01-01T00:51:00,False
52,66,157.3,2023-01-01T00:52:00,False
53,99,570.7,2023-01-01T00:53:00,False
54,70,414.02,2023-01-01T00:54:00,False
55,72,285.78,2023-01-01T00:55:00,False
56,26,821.58,2023-01-01T00:56:00,False
57,63,991.73,2023-01-01T00:57:00,False
58,38,225.28,2023-01-01T00:58:00,False
59,43,832.0,2023-01-01T00:59:00,False
... and so on ...
